Id,Education,Marital_Status,Income,Children,NumWebVisitsMonth,Response,Complain,SegmentLabel
1826,Graduation,Divorced,84835.0,0,1,1,0,Champions
1,Graduation,Single,57091.0,0,5,1,0,Champions
10476,Graduation,Married,67267.0,1,2,0,0,Loyal
1386,Graduation,Together,32474.0,2,7,0,0,Promising
5371,Graduation,Single,21474.0,1,7,1,0,Loyal
7348,PhD,Single,71691.0,0,2,1,0,Champions
4073,2n Cycle,Married,63564.0,0,6,1,0,Champions
1991,Graduation,Together,44931.0,1,5,0,0,Loyal
4047,PhD,Married,65324.0,1,4,0,0,Champions
9477,PhD,Married,65324.0,1,4,0,0,Champions
2079,2n Cycle,Married,81044.0,0,1,0,0,Champions
5642,Master,Together,62499.0,1,4,0,0,Loyal
10530,PhD,Widow,67786.0,0,1,1,0,Champions
2964,Graduation,Married,26872.0,0,6,0,0,Loyal
10311,Graduation,Married,4428.0,1,1,0,0,Champions
837,Graduation,Married,54809.0,2,4,0,0,Loyal
10521,Graduation,Married,54809.0,2,4,1,0,Loyal
10175,PhD,Divorced,32173.0,1,4,0,0,Promising
1473,2n Cycle,Single,47823.0,1,8,0,0,Loyal
2795,Master,Single,30523.0,3,7,0,0,Promising
2285,Master,Together,36634.0,1,7,0,0,Loyal
115,Master,Single,43456.0,1,5,0,0,Loyal
10470,Master,Married,40662.0,1,4,0,0,Loyal
4065,PhD,Married,49544.0,1,7,0,0,Champions
10968,Graduation,Single,57731.0,1,6,0,0,Champions
5985,Master,Single,33168.0,1,7,0,0,Loyal
5430,Graduation,Together,54450.0,2,8,0,0,Champions
8432,Graduation,Together,54450.0,2,8,0,0,Champions
453,PhD,Widow,35340.0,2,5,0,0,Promising
9687,Graduation,Single,73170.0,0,2,0,0,Champions
8890,PhD,Divorced,65808.0,2,6,0,0,Loyal
9264,Graduation,Married,79529.0,0,2,0,0,Champions
5824,PhD,Together,34578.0,3,6,0,0,Promising
5794,PhD,Married,46374.0,1,8,1,0,Champions
3068,Graduation,Married,18351.0,0,7,0,0,Promising
7962,PhD,Single,95169.0,0,1,1,0,Champions
2681,2n Cycle,Married,65370.0,0,1,0,0,Champions
10141,Master,Divorced,39228.0,0,4,0,0,Promising
3725,PhD,Single,84865.0,0,4,1,0,Champions
3767,Graduation,Married,61314.0,1,3,0,0,Champions
5585,Graduation,Single,21359.0,1,8,1,0,Promising
7030,PhD,Married,66465.0,1,6,0,0,Champions
1524,2n Cycle,Single,81698.0,0,5,1,0,Champions
3657,Graduation,Single,39146.0,1,8,0,0,Loyal
5740,2n Cycle,Divorced,25959.0,2,6,1,0,Promising
9595,Graduation,Together,64260.0,0,3,1,0,Champions
3158,Graduation,Married,32300.0,1,8,0,0,Promising
5114,Master,Married,74806.0,1,4,0,0,Champions
340,Graduation,Divorced,72967.0,1,5,1,0,Champions
8805,Graduation,Single,48904.0,1,8,0,0,Loyal
1241,2n Cycle,Married,14796.0,1,9,1,0,Promising
1402,Master,Married,66991.0,0,3,0,0,Champions
7264,2n Cycle,Single,52195.0,3,8,0,0,Promising
1619,Graduation,Married,90369.0,0,1,1,0,Champions
6398,Basic,Married,18393.0,1,8,0,0,Promising
1857,Graduation,Single,47139.0,2,7,1,0,Loyal
4877,Master,Married,38576.0,1,7,0,0,Promising
3066,PhD,Together,61905.0,1,5,0,0,Loyal
10286,Graduation,Married,83715.0,0,0,0,0,Champions
1992,Graduation,Married,60597.0,1,7,1,0,Champions
4246,Master,Single,6560.0,0,17,0,0,Loyal
10623,Master,Together,48330.0,1,5,0,0,Promising
4867,PhD,Single,38236.0,2,7,0,0,Loyal
3112,Master,Married,22701.0,1,5,0,0,Promising
4865,Master,Divorced,53367.0,2,7,1,0,Champions
6287,Graduation,Together,34728.0,1,6,1,0,Promising
4405,Master,Married,63915.0,2,5,0,0,Champions
5332,2n Cycle,Married,82504.0,0,1,0,0,Champions
1519,PhD,Single,38578.0,2,8,1,0,Loyal
9080,PhD,Single,38578.0,2,8,0,0,Loyal
1772,PhD,Married,79174.0,0,2,1,0,Champions
