Income,Education,Marital_Status,Kids,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,TotalSpend,Response,NumWebVisitsMonth,Segment,RFM_Score
84835.0,Graduation,Divorced,0,4,4,6,1,1190,1,1,Champions,13
57091.0,Graduation,Single,0,7,3,7,1,577,1,5,Loyal,12
67267.0,Graduation,Married,1,3,2,5,1,251,0,2,Loyal,11
32474.0,Graduation,Together,2,1,0,2,1,11,0,7,Potential,7
21474.0,Graduation,Single,1,3,1,2,2,91,1,7,Potential,9
71691.0,PhD,Single,0,4,7,5,1,1192,1,2,Champions,14
63564.0,2n Cycle,Married,0,10,10,7,1,1215,1,6,Champions,15
44931.0,Graduation,Together,1,2,1,3,1,96,0,5,Potential,9
65324.0,PhD,Married,1,6,2,9,3,544,0,4,Loyal,12
65324.0,PhD,Married,1,6,2,9,3,544,0,4,Loyal,12
81044.0,2n Cycle,Married,0,5,6,10,1,1208,0,1,Champions,15
62499.0,Master,Together,1,3,1,6,2,222,0,4,Loyal,11
67786.0,PhD,Widow,0,3,6,6,1,1156,1,1,Loyal,12
26872.0,Graduation,Married,0,1,1,2,1,72,0,6,Potential,8
4428.0,Graduation,Married,1,25,0,0,0,359,0,1,Champions,13
54809.0,Graduation,Married,2,2,1,5,4,174,0,4,Potential,9
54809.0,Graduation,Married,2,2,1,5,4,174,1,4,Potential,9
32173.0,PhD,Divorced,1,1,0,3,1,22,0,4,Potential,7
47823.0,2n Cycle,Single,1,2,0,3,2,72,0,8,Potential,8
30523.0,Master,Single,3,1,0,2,1,13,0,7,Potential,7
36634.0,Master,Together,1,5,2,5,3,335,0,7,Loyal,11
43456.0,Master,Single,1,5,1,8,3,393,0,5,Loyal,11
40662.0,Master,Married,1,2,1,3,2,92,0,4,Potential,9
49544.0,PhD,Married,1,5,1,8,2,404,0,7,Loyal,11
57731.0,Graduation,Single,1,8,8,6,4,704,0,6,Champions,14
33168.0,Master,Single,1,2,1,4,3,122,0,7,Potential,9
54450.0,Graduation,Together,2,9,2,8,12,684,0,8,Champions,13
54450.0,Graduation,Together,2,9,2,8,12,684,0,8,Champions,13
35340.0,PhD,Widow,2,2,0,3,2,45,0,5,Potential,7
73170.0,Graduation,Single,0,5,4,6,1,726,0,2,Loyal,12
65808.0,PhD,Divorced,2,5,1,5,3,272,0,6,Loyal,11
